geo,TIME_PERIOD,OBS_VALUE
AT,2010,1.8
AT,2011,2.9
AT,2012,0.7
AT,2013,0
AT,2014,0.7
AT,2015,1
AT,2016,2
AT,2017,2.3
AT,2018,2.4
AT,2019,1.5
AT,2020,-6.5
AT,2021,4.6
BE,2010,2.9
BE,2011,1.7
BE,2012,0.7
BE,2013,0.5
BE,2014,1.6
BE,2015,2
BE,2016,1.3
BE,2017,1.6
BE,2018,1.8
BE,2019,2.2
BE,2020,-5.4
BE,2021,6.1
CH,2010,3.2
CH,2011,1.8
CH,2012,1.2
CH,2013,1.8
CH,2014,2.3
CH,2015,1.6
CH,2016,2.1
CH,2017,1.4
CH,2018,2.9
CH,2019,1.1
CH,2020,-2.4
CH,2021,4.2
DE,2010,4.2
DE,2011,3.9
DE,2012,0.4
DE,2013,0.4
DE,2014,2.2
DE,2015,1.5
DE,2016,2.2
DE,2017,2.7
DE,2018,1
DE,2019,1.1
DE,2020,-3.7
DE,2021,2.6
DK,2010,1.9
DK,2011,1.3
DK,2012,0.2
DK,2013,0.9
DK,2014,1.6
DK,2015,2.3
DK,2016,3.2
DK,2017,2.8
DK,2018,2
DK,2019,1.5
DK,2020,-2
DK,2021,4.9
EL,2010,-5.5
EL,2011,-10.1
EL,2012,-7.1
EL,2013,-2.5
EL,2014,0.5
EL,2015,-0.2
EL,2016,-0.5
EL,2017,1.1
EL,2018,1.7
EL,2019,1.9
EL,2020,-9
EL,2021,8.4
ES,2010,0.2
ES,2011,-0.8
ES,2012,-3
ES,2013,-1.4
ES,2014,1.4
ES,2015,3.8
ES,2016,3
ES,2017,3
ES,2018,2.3
ES,2019,2
ES,2020,-11.3
ES,2021,5.5
EU27_2020,2010,2.2
EU27_2020,2011,1.9
EU27_2020,2012,-0.7
EU27_2020,2013,-0.1
EU27_2020,2014,1.6
EU27_2020,2015,2.3
EU27_2020,2016,2
EU27_2020,2017,2.8
EU27_2020,2018,2.1
EU27_2020,2019,1.8
EU27_2020,2020,-5.7
EU27_2020,2021,5.4
FI,2010,3.2
FI,2011,2.5
FI,2012,-1.4
FI,2013,-0.9
FI,2014,-0.4
FI,2015,0.5
FI,2016,2.8
FI,2017,3.2
FI,2018,1.1
FI,2019,1.2
FI,2020,-2.4
FI,2021,3
FR,2010,1.9
FR,2011,2.2
FR,2012,0.3
FR,2013,0.6
FR,2014,1
FR,2015,1.1
FR,2016,1.1
FR,2017,2.3
FR,2018,1.9
FR,2019,1.8
FR,2020,-7.8
FR,2021,6.8
HR,2010,-1.2
HR,2011,-0.1
HR,2012,-2.3
HR,2013,-0.4
HR,2014,-0.4
HR,2015,2.5
HR,2016,3.6
HR,2017,3.4
HR,2018,2.8
HR,2019,3.4
HR,2020,-8.6
HR,2021,13.1
IE,2010,1.7
IE,2011,0.8
IE,2012,0
IE,2013,1.1
IE,2014,8.6
IE,2015,24.4
IE,2016,2
IE,2017,9
IE,2018,8.5
IE,2019,5.4
IE,2020,6.2
IE,2021,13.6
IT,2010,1.7
IT,2011,0.7
IT,2012,-3
IT,2013,-1.8
IT,2014,0
IT,2015,0.8
IT,2016,1.3
IT,2017,1.7
IT,2018,0.9
IT,2019,0.5
IT,2020,-9
IT,2021,6.7
NL,2010,1.3
NL,2011,1.6
NL,2012,-1
NL,2013,-0.1
NL,2014,1.4
NL,2015,2
NL,2016,2.2
NL,2017,2.9
NL,2018,2.4
NL,2019,2
NL,2020,-3.9
NL,2021,4.9
NO,2010,0.8
NO,2011,1.1
NO,2012,2.7
NO,2013,1
NO,2014,2
NO,2015,1.9
NO,2016,1.2
NO,2017,2.5
NO,2018,0.8
NO,2019,1.1
NO,2020,-1.3
NO,2021,3.9
PL,2010,2.9
PL,2011,5
PL,2012,1.5
PL,2013,0.9
PL,2014,3.8
PL,2015,4.4
PL,2016,3
PL,2017,5.1
PL,2018,5.9
PL,2019,4.4
PL,2020,-2
PL,2021,6.8
PT,2010,1.7
PT,2011,-1.7
PT,2012,-4.1
PT,2013,-0.9
PT,2014,0.8
PT,2015,1.8
PT,2016,2
PT,2017,3.5
PT,2018,2.8
PT,2019,2.7
PT,2020,-8.3
PT,2021,5.5
RO,2010,-3.9
RO,2011,4.5
RO,2012,1.9
RO,2013,0.3
RO,2014,4.1
RO,2015,3.2
RO,2016,2.9
RO,2017,8.2
RO,2018,6
RO,2019,3.9
RO,2020,-3.7
RO,2021,5.8
SE,2010,6
SE,2011,3.2
SE,2012,-0.6
SE,2013,1.2
SE,2014,2.7
SE,2015,4.5
SE,2016,2.1
SE,2017,2.6
SE,2018,2
SE,2019,2
SE,2020,-2.2
SE,2021,5.1
UK,2010,2.1
UK,2011,1.3
UK,2012,1.4
UK,2013,2.2
UK,2014,2.9
UK,2015,2.4
UK,2016,1.7
UK,2017,1.7
UK,2018,1.3
UK,2019,1.4
